developer-agreement-transaction,developer-agreement contribution,contribution-funding-status,amount,units,entry-date,start-date,end-date
300002293,DC/15/57949-da1-80,Received,7659.12,,2019-11-29,2018-09-04,
300002293,DC/15/57949-da1-15,Received,1436.09,,2019-11-29,2018-09-04,
300002293,DC/15/57949-da1-5,Received,478.69,,2019-11-29,2018-09-04,
300002297,DC/15/57949-da2-80,Received,7659.12,,2019-11-29,31/11/2018,
300002297,DC/15/57949-da2-15,Received,1436.09,,2019-11-29,31/11/2018,
300002297,DC/15/57949-da2-5,Received,478.69,,2019-11-29,31/11/2018,
300002303,DC/15/57967-da3-80,Received,2562.00,,2019-11-29,2018-11-26,
300002303,DC/15/57967-da3-15,Received,480.38,,2019-11-29,2018-11-26,
300002303,DC/15/57967-da3-5,Received,160.12,,2019-11-29,2018-11-26,
300002304,DC/15/57967-da4-80,Received,2562.00,,2019-11-29,2018-11-26,
300002304,DC/15/57967-da4-15,Received,480.38,,2019-11-29,2018-11-26,
300002304,DC/15/57967-da4-5,Received,160.12,,2019-11-29,2018-11-26,
300002321,DC/15/57967-da5-80,Received,2562.00,,2019-11-29,2019-02-11,
300002321,DC/15/57967-da5-15,Received,480.38,,2019-11-29,2019-02-11,
300002321,DC/15/57967-da5-5,Received,160.12,,2019-11-29,2019-02-11,
300002322,DC/15/57967-da6-80,Received,2562.00,,2019-11-29,2019-02-11,
300002322,DC/15/57967-da6-15,Received,480.38,,2019-11-29,2019-02-11,
300002322,DC/15/57967-da6-5,Received,160.12,,2019-11-29,2019-02-11,
300002275,DC/15/57992-da7-80,Received,473.52,,2019-11-29,2018-10-15,
300002275,DC/15/57992-da7-15,Received,88.79,,2019-11-29,2018-10-15,
300002275,DC/15/57992-da7-5,Received,29.59,,2019-11-29,2018-10-15,
300002336,DC/15/58342-da11-80,Received,10387.53,,2019-11-29,2019-04-26,
300002336,DC/15/58342-da11-15,Received,1947.66,,2019-11-29,2019-04-26,
300002336,DC/15/58342-da11-5,Received,649.22,,2019-11-29,2019-04-26,
300002313,DC/15/58366-da12-80,Received,1238.40,,2019-11-29,2018-08-01,
300002313,DC/15/58366-da12-15,Received,232.20,,2019-11-29,2018-08-01,
300002313,DC/15/58366-da12-5,Received,77.40,,2019-11-29,2018-08-01,
300002306,DC/15/58519-da13-80,Received,1577.60,,2019-11-29,2019-10-14,
300002306,DC/15/58519-da13-15,Received,295.80,,2019-11-29,2019-10-14,
300002306,DC/15/58519-da13-5,Received,98.60,,2019-11-29,2019-10-14,
300002307,DC/15/58688-da14-80,Received,451.44,,2019-11-29,2018-11-28,
300002307,DC/15/58688-da14-15,Received,84.65,,2019-11-29,2018-11-28,
300002307,DC/15/58688-da14-5,Received,28.21,,2019-11-29,2018-11-28,
300002308,DC/15/58688-da15-80,Received,451.44,,2019-11-29,2018-11-27,
300002308,DC/15/58688-da15-15,Received,84.65,,2019-11-29,2018-11-27,
300002308,DC/15/58688-da15-5,Received,28.21,,2019-11-29,2018-11-27,
300002309,DC/15/58688-da16-80,Received,451.44,,2019-11-29,2018-11-23,
300002309,DC/15/58688-da16-15,Received,84.65,,2019-11-29,2018-11-23,
300002309,DC/15/58688-da16-5,Received,28.21,,2019-11-29,2018-11-23,
300002310,DC/15/58688-da17-80,Received,451.44,,2019-11-29,2018-11-28,
300002310,DC/15/58688-da17-15,Received,84.65,,2019-11-29,2018-11-28,
300002310,DC/15/58688-da17-5,Received,28.21,,2019-11-29,2018-11-28,
300002270,DC/15/58695-da18-80,Received,4016.18,,2019-11-29,2018-04-05,
300002270,DC/15/58695-da18-15,Received,753.03,,2019-11-29,2018-04-05,
300002270,DC/15/58695-da18-5,Received,251.02,,2019-11-29,2018-04-05,
300002299,DC/15/58733-da19-80,Received,4968.00,,2019-11-29,2019-01-11,
300002299,DC/15/58733-da19-15,Received,931.50,,2019-11-29,2019-01-11,
300002299,DC/15/58733-da19-5,Received,310.50,,2019-11-29,2019-01-11,
300002328,DC/15/58733-da20-80,Received,4968.00,,2019-11-29,2019-10-04,
300002328,DC/15/58733-da20-15,Received,931.50,,2019-11-29,2019-10-04,
300002328,DC/15/58733-da20-15,Received,310.50,,2019-11-29,2019-10-04,
300002283,DC/15/58814-da22-80,Received,116558.33,,2019-11-29,2018-06-22,
300002283,DC/15/58814-da22-15,Received,21854.69,,2019-11-29,2018-06-22,
300002283,DC/15/58814-da22-5,Received,7284.89,,2019-11-29,2018-06-22,
300002346,DC/16/59080-da27-80,Received,3000.24,,2019-11-29,2019-05-01,
300002346,DC/16/59080-da27-15,Received,562.55,,2019-11-29,2019-05-01,
300002346,DC/16/59080-da27-5,Received,187.51,,2019-11-29,2019-05-01,
300002317,DC/16/59096-da28-80,Secured,,,2019-11-29,,
300002317,DC/16/59096-da28-15,Secured,,,2019-11-29,,
300002317,DC/16/59096-da28-5,Secured,,,2019-11-29,,
300002302,DC/16/59290-da29-80,Secured,,,2019-11-29,,
300002302,DC/16/59290-da29-15,Secured,,,2019-11-29,,
300002302,DC/16/59290-da29-5,Secured,,,2019-11-29,,
300002292,DC/16/59541-da32-80,Received,50690.35,,2019-11-29,2018-09-25,
300002292,DC/16/59541-da32-15,Received,9504.44,,2019-11-29,2018-09-25,
300002292,DC/16/59541-da32-5,Received,3168.15,,2019-11-29,2018-09-25,
300002272,DC/16/59630 -da34-80,Received,5207.27,,2019-11-29,2019-09-13,
300002272,DC/16/59630 -da34-15,Received,976.36,,2019-11-29,2019-09-13,
300002272,DC/16/59630 -da34-5,Received,325.46,,2019-11-29,2019-09-13,
300002386,DC/16/59630 -da35-80,Secured,,,2019-11-29,,
300002386,DC/16/59630 -da35-15,Secured,,,2019-11-29,,
300002386,DC/16/59630 -da35-5,Secured,,,2019-11-29,,
300002296,DC/16/59740-da36-80,Received,15594.56,,2019-11-29,2018-09-28,2018-09-26
300002296,DC/16/59740-da36-15,Received,2923.98,,2019-11-29,2018-09-28,2018-09-26
300002296,DC/16/59740-da36-5,Received,974.66,,2019-11-29,2018-09-28,2018-09-26
300002300,DC/16/59740-da37-80,Received,15594.56,,2019-11-29,2018-11-20,2018-10-26
300002300,DC/16/59740-da37-15,Received,2923.98,,2019-11-29,2018-11-20,2018-10-26
300002300,DC/16/59740-da37-5,Received,974.66,,2019-11-29,2018-11-20,2018-10-26
300002323,DC/16/59740-da38-80,Received,15594.56,,2019-11-29,2019-03-03,2018-09-26
300002323,DC/16/59740-da38-15,Received,2923.98,,2019-11-29,2019-03-03,2018-09-26
300002323,DC/16/59740-da38-5,Received,974.66,,2019-11-29,2019-03-03,2018-09-26
300002341,DC/16/59740-da39-80,Received,15594.57,,2019-11-29,2019-05-01,2018-10-26
300002341,DC/16/59740-da39-15,Received,2923.98,,2019-11-29,2019-05-01,2018-10-26
300002341,DC/16/59740-da39-5,Received,974.66,,2019-11-29,2019-05-01,2018-10-26
300002326,DC/16/59843-da43-80,Received,3060.20,,2019-11-29,2019-07-26,
300002326,DC/16/59843-da43-15,Received,573.79,,2019-11-29,2019-07-26,
300002326,DC/16/59843-da43-5,Received,191.26,,2019-11-29,2019-07-26,
300002327,DC/16/59843-da44-80,Received,3060.20,,2019-11-29,2019-07-26,
300002327,DC/16/59843-da44-15,Received,573.79,,2019-11-29,2019-07-26,
300002327,DC/16/59843-da44-5,Received,191.25,,2019-11-29,2019-07-26,
300002269,DC/16/59961-da46-80,Received,2858.88,,2019-11-29,2018-04-23,
300002269,DC/16/59961-da46-15,Received,536.04,,2019-11-29,2018-04-23,
300002269,DC/16/59961-da46-5,Received,178.68,,2019-11-29,2018-04-23,
300002276,DC/16/59961-da47-80,Received,99.92,,2019-11-29,2018-05-24,
300002276,DC/16/59961-da47-15,Received,18.74,,2019-11-29,2018-05-24,
300002276,DC/16/59961-da47-5,Received,6.24,,2019-11-29,2018-05-24,
300002281,DC/16/60069-da48-80,Received,104321.49,,2019-11-29,2018-06-22,
300002281,DC/16/60069-da48-15,Received,19560.28,,2019-11-29,2018-06-22,
300002281,DC/16/60069-da48-5,Received,6520.09,,2019-11-29,2018-06-22,
300002267,DC/16/60124-da51-80,Received,7521.18,,2019-11-29,2018-04-23,
300002267,DC/16/60124-da51-15,Received,1410.22,,2019-11-29,2018-04-23,
300002267,DC/16/60124-da51-5,Received,470.08,,2019-11-29,2018-04-23,
300002280,DC/16/60124-da52-80,Received,7521.18,,2019-11-29,2018-06-11,
300002280,DC/16/60124-da52-15,Received,1410.22,,2019-11-29,2018-06-11,
300002280,DC/16/60124-da52-5,Received,470.08,,2019-11-29,2018-06-11,
300002291,DC/16/60124-da53-80,Received,7521.18,,2019-11-29,2018-09-17,
300002291,DC/16/60124-da53-15,Received,1410.22,,2019-11-29,2018-09-17,
300002291,DC/16/60124-da53-5,Received,470.06,,2019-11-29,2018-09-17,
300002282,DC/17/60517-da60-80,Received,34404.46,,2019-11-29,2018-06-22,
300002282,DC/17/60517-da60-15,Received,6450.84,,2019-11-29,2018-06-22,
300002282,DC/17/60517-da60-5,Received,2150.28,,2019-11-29,2018-06-22,
300002298,DC/17/60728-da62-80,Received,6757.58,,2019-11-29,2018-11-30,
300002298,DC/17/60728-da62-15,Received,1267.05,,2019-11-29,2018-11-30,
300002298,DC/17/60728-da62-5,Received,422.35,,2019-11-29,2018-11-30,
300002279,DC/17/60955-da66-80,Received,3526.71,,2019-11-29,2018-06-08,
300002279,DC/17/60955-da66-15,Received,661.26,,2019-11-29,2018-06-08,
300002279,DC/17/60955-da66-5,Received,220.42,,2019-11-29,2018-06-08,
300002288,DC/17/61044-da67-80,Received,29367.70,,2019-11-29,2018-08-14,
300002288,DC/17/61044-da67-15,Received,5506.55,,2019-11-29,2018-08-14,
300002288,DC/17/61044-da67-5,Received,1835.49,,2019-11-29,2018-08-14,
300002316,DC/17/61140-da74-80,Received,10156.15,,2019-11-29,2019-02-12,
300002316,DC/17/61140-da74-15,Received,1904.28,,2019-11-29,2019-02-12,
300002316,DC/17/61140-da74-5,Received,634.76,,2019-11-29,2019-02-12,
300002335,DC/17/61140-da75-80,Received,10156.14,,2019-11-29,2019-04-09,
300002335,DC/17/61140-da75-15,Received,1904.28,,2019-11-29,2019-04-09,
300002335,DC/17/61140-da75-5,Received,634.76,,2019-11-29,2019-04-09,
300002312,DC/17/61330-da78-80,Received,232.93,,2019-11-29,2018-11-29,
300002312,DC/17/61330-da78-15,Received,43.67,,2019-11-29,2018-11-29,
300002312,DC/17/61330-da78-5,Received,14.56,,2019-11-29,2018-11-29,
300002273,DC/17/61357-da79-80,Received,2089.67,,2019-11-29,2018-05-08,
300002273,DC/17/61357-da79-15,Received,391.81,,2019-11-29,2018-05-08,
300002273,DC/17/61357-da79-5,Received,130.61,,2019-11-29,2018-05-08,
300002268,DC/17/61366-da80-80,Received,2387.54,,2019-11-29,2018-08-01,
300002268,DC/17/61366-da80-15,Received,447.66,,2019-11-29,2018-08-01,
300002268,DC/17/61366-da80-5,Received,149.22,,2019-11-29,2018-08-01,
300002294,DC/18/61535-da81-80,Received,846.03,,2019-11-29,2018-09-27,
300002294,DC/18/61535-da81-15,Received,158.63,,2019-11-29,2018-09-27,
300002294,DC/18/61535-da81-5,Received,52.88,,2019-11-29,2018-09-27,
300002337,DC/18/61546-da82-80,Received,21597.00,,2019-11-29,2019-04-05,
300002337,DC/18/61546-da82-15,Received,4049.44,,2019-11-29,2019-04-05,
300002337,DC/18/61546-da82-5,Received,1349.81,,2019-11-29,2019-04-05,
300002329,DC/18/62034-da89-80,Received,3770.56,,2019-11-29,2019-09-02,
300002329,DC/18/62034-da89-15,Received,706.98,,2019-11-29,2019-09-02,
300002329,DC/18/62034-da89-5,Received,235.66,,2019-11-29,2019-09-02,
300002330,DC/18/62034-da90-80,Received,3770.56,,2019-11-29,2019-09-02,
300002330,DC/18/62034-da90-15,Received,706.98,,2019-11-29,2019-09-02,
300002330,DC/18/62034-da90-5,Received,235.66,,2019-11-29,2019-09-02,
300002332,DC/18/62278-da106-80,Received,1635.52,,2019-11-29,2019-03-15,
300002332,DC/18/62278-da106-15,Received,306.66,,2019-11-29,2019-03-15,
300002332,DC/18/62278-da106-5,Received,102.22,,2019-11-29,2019-03-15,
300002311,PD/15/00301-da115-80,Received,16892.00,,2019-11-29,2018-12-17,
300002311,PD/15/00301-da115-15,Received,3167.25,,2019-11-29,2018-12-17,
300002311,PD/15/00301-da115-5,Received,1055.75,,2019-11-29,2018-12-17,
300002333,PD/15/00301-da116-80,Received,676.46,,2019-11-29,2019-03-18,
300002333,PD/15/00301-da116-15,Received,126.84,,2019-11-29,2019-03-18,
300002333,PD/15/00301-da116-5,Received,42.28,,2019-11-29,2019-03-18,
300002285,PD/15/00339-da117-80,Received,3456.00,,2019-11-29,2018-10-11,
300002285,PD/15/00339-da117-15,Received,648.00,,2019-11-29,2018-10-11,
300002285,PD/15/00339-da117-5,Received,216.00,,2019-11-29,2018-10-11,
300002315,PD/15/00339-da118-80,Received,105.58,,2019-11-29,2019-01-16,
300002315,PD/15/00339-da118-15,Received,19.80,,2019-11-29,2019-01-16,
300002315,PD/15/00339-da118-5,Received,6.60,,2019-11-29,2019-01-16,
300002271,PD/17/00694-da123-80,Received,23724.02,,2019-11-29,2018-06-12,
300002271,PD/17/00694-da123-15,Received,4448.25,,2019-11-29,2018-06-12,
300002271,PD/17/00694-da123-5,Received,1482.76,,2019-11-29,2018-06-12,
300002277,PD/17/00836-da125-80,Received,2820.10,,2019-11-29,2018-05-31,
300002277,PD/17/00836-da125-15,Received,528.77,,2019-11-29,2018-05-31,
300002277,PD/17/00836-da125-5,Received,176.25,,2019-11-29,2018-05-31,
300002278,PD/17/00836-da126-80,Received,2820.09,,2019-11-29,2018-06-12,
300002278,PD/17/00836-da126-15,Received,528.77,,2019-11-29,2018-06-12,
300002278,PD/17/00836-da126-5,Received,176.25,,2019-11-29,2018-06-12,
DC/17/61372-da-EC,DC/17/61372-da-s106-1,NOT YET RECEIVED MONEY,0.00,,2019-11-29,2018-05-15,2018-11-14
DC/13/56501&DC/12/55397-da-OS,DC/13/56501&DC/12/55397-da-s106-1,NOT YET RECEIVED MONEY,0.00,,2019-11-29,2018-10-11,
