developer-agreement,organisation,entry-date,start-date,end-date,planning-application,document-url,developer-agreement-type
DC/15/57949-da,local-authority-eng:SAW,2019-11-29,2018-09-13,,DC/15/57949,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NJNL64NR4O000&documentOrdering.orderBy=description&documentOrdering.orderDirection=ascending,CIL
DC/15/57967-da,local-authority-eng:SAW,2019-11-29,2018-11-09,,DC/15/57967,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NK0JT1NR4O000,CIL
DC/15/57992-da,local-authority-eng:SAW,2019-11-29,2018-05-22,,DC/15/57992,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKDIJ9NR4O000,CIL
DC/15/58342-da,local-authority-eng:SAW,2019-11-29,2019-03-15,,DC/15/58342,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NQ8JP7NR4O000,CIL
DC/15/58366-da,local-authority-eng:SAW,2019-11-29,2018-11-30,,DC/15/58366,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NQHTAJNR4O000,CIL
DC/15/58519-da,local-authority-eng:SAW,2019-11-29,2018-11-14,,DC/15/58519,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NSYNDGNR00L00,CIL
DC/15/58688-da,local-authority-eng:SAW,2019-11-29,2018-11-15,,DC/15/58688,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NW5G5DNR00L00,CIL
DC/15/58695-da,local-authority-eng:SAW,2019-11-29,2018-04-19,,DC/15/58695,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NW76Y9NR4O000,CIL
DC/15/58733-da,local-authority-eng:SAW,2019-11-29,2019-02-15,,DC/15/58733,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NWM8O6NR00L00,CIL
DC/15/58814-da,local-authority-eng:SAW,2019-11-29,2018-06-07,,DC/15/58814,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NXQZU4NR4O000,CIL
DC/16/59080-da,local-authority-eng:SAW,2019-11-29,2019-04-30,,DC/16/59080,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O1NO5YNR07S00,CIL
DC/16/59096-da,local-authority-eng:SAW,2019-11-29,2019-01-23,,DC/16/59096,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O1VBRNNR00L00,CIL
DC/16/59290-da,local-authority-eng:SAW,2019-11-29,2018-10-25,,DC/16/59290,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O4HL6INRFIR00,CIL
DC/16/59541-da,local-authority-eng:SAW,2019-11-29,2018-09-07,,DC/16/59541,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O8G3P9NRFVY00,CIL
DC/16/59630 -da,local-authority-eng:SAW,2019-11-29,2019-10-28,,DC/16/59630,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O9IZQ8NRFZR00,CIL
DC/16/59740-da,local-authority-eng:SAW,2019-11-29,2018-09-13,2018-09-26,DC/16/59740,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OB83R6NRG5A00,CIL
DC/16/59843-da,local-authority-eng:SAW,2019-11-29,2019-02-08,,DC/16/59843,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OCX7PNNRGAA00,CIL
DC/16/59961-da,local-authority-eng:SAW,2019-11-29,2018-04-19,,DC/16/59961,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OEZAEJNRGGK00,CIL
DC/16/60069-da,local-authority-eng:SAW,2019-11-29,2018-06-07,,DC/16/60069,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OH3AIPNRGMJ00,CIL
DC/16/60124-da,local-authority-eng:SAW,2019-11-29,2018-09-13,,DC/16/60124,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OI2H64NRGPK00,CIL
DC/17/60517-da,local-authority-eng:SAW,2019-11-29,2018-06-07,,DC/17/60517,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OOCBQONRHAC00,CIL
DC/17/60728-da,local-authority-eng:SAW,2019-11-29,2018-10-11,,DC/17/60728,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ORBQEXNRHK900,CIL
DC/17/60955-da,local-authority-eng:SAW,2019-11-29,2018-05-22,,DC/17/60955,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OUGP1MNRHUY00,CIL
DC/17/61044-da,local-authority-eng:SAW,2019-11-29,2018-07-11,,DC/17/61044,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OW5T0XNRI0F00,CIL
DC/17/61140-da,local-authority-eng:SAW,2019-11-29,2019-01-10,,DC/17/61140,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPD34NRI5E00,CIL
DC/17/61330-da,local-authority-eng:SAW,2019-11-29,2018-11-21,,DC/17/61330,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P0JAHENRIEE00,CIL
DC/17/61357-da,local-authority-eng:SAW,2019-11-29,2018-05-16,,DC/17/61357,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P0ZYHBNRIFY00,CIL
DC/17/61366-da,local-authority-eng:SAW,2019-11-29,2018-04-05,,DC/17/61366,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P17D61NRIGG00,CIL
DC/18/61535-da,local-authority-eng:SAW,2019-11-29,2018-09-20,,DC/18/61535,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P46RT4NRIP100,CIL
DC/18/61546-da,local-authority-eng:SAW,2019-11-29,2019-03-21,,DC/18/61546,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P4AH67NRIPI00,CIL
DC/18/62034-da,local-authority-eng:SAW,2019-11-29,2019-03-01,,DC/18/62034,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBQX2YNRJEO00,CIL
DC/18/62278-da,local-authority-eng:SAW,2019-11-29,2019-03-08,,DC/18/62278,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFRD1ENRJQN00,CIL
PD/15/00301-da,local-authority-eng:SAW,2019-11-29,2018-11-14,,PD/15/00301,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NKQRWDNR00L00,CIL
PD/15/00339-da,local-authority-eng:SAW,2019-11-29,2018-06-07,,PD/15/00339,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NN3WMDNR07S00,CIL
PD/17/00694-da,local-authority-eng:SAW,2019-11-29,2018-04-19,,PD/17/00694,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OL0GJJNR00L00,CIL
PD/17/00836-da,local-authority-eng:SAW,2019-11-29,2018-05-24,,PD/17/00836,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXWXQ2NR06V00,CIL
DC/17/61372-da-s106,local-authority-eng:SAW,2019-11-29,2018-05-15,2018-11-14,DC/17/61372,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P1B2IMNRIGS00,S106
DC/13/56501&DC/12/55397-da-s106,local-authority-eng:SAW,2019-11-29,2018-10-11,,DC/13/56501&DC/12/55397,https://webcaps.sandwell.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MV6AACNR00L00,S106
